file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\All Five Projects\spring-batch-main\spring-batch-infrastructure\src\main\java\org\springframework\batch\item\support\builder\SynchronizedItemWriterBuilder.java,org.springframework.batch.item.support.builder.SynchronizedItemWriterBuilder,class,4,5,1,4,2,1,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,11,2,0,0,0,0,1,0,1,0,1,0,0,0,0,23,1,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-infrastructure\src\test\java\org\springframework\batch\item\data\builder\RepositoryItemReaderBuilderTests.java,org.springframework.batch.item.data.builder.RepositoryItemReaderBuilderTests,class,13,14,1,13,12,1,0,28,0,0.5729166,0.9818182,1.0,12,0,0,1,0,11,11,0,0,0,8,4,0,8,0,0,4,0,0,97,0,0,0,0,0,35,19,34,0,34,0,0,1,0,93,0,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-infrastructure\src\test\java\org\springframework\batch\item\database\support\H2PagingQueryProviderIntegrationTests.java,org.springframework.batch.item.database.support.H2PagingQueryProviderIntegrationTests,class,14,14,0,14,1,1,0,13,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,26,0,0,0,0,0,15,3,9,0,10,1,0,0,1,56,0,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-infrastructure\src\test\java\org\springframework\batch\repeat\callback\NestedRepeatCallbackTests.java,org.springframework.batch.repeat.callback.NestedRepeatCallbackTests,class,4,4,0,4,2,1,0,5,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,13,1,0,0,0,0,0,3,3,0,4,1,0,0,1,16,0,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\job\flow\support\SimpleFlowTests.java,org.springframework.batch.core.job.flow.support.SimpleFlowTests$Anonymous2,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\job\flow\support\SimpleFlowTests.java,org.springframework.batch.core.job.flow.support.SimpleFlowTests$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\job\flow\FlowJobTests.java,org.springframework.batch.core.job.flow.FlowJobTests$Anonymous6,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,-1,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\repository\JobRestartExceptionTests.java,org.springframework.batch.core.repository.JobRestartExceptionTests,class,2,2,0,2,2,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\step\item\ChunkOrientedTaskletTests.java,org.springframework.batch.core.step.item.ChunkOrientedTaskletTests,class,10,10,0,10,3,1,0,10,0,0.0,1.0,1.0,3,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,1,0,0,53,0,0,0,0,0,8,9,9,0,15,0,3,0,4,36,0,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-samples\src\test\java\org\springframework\batch\samples\loop\LoopFlowSampleFunctionalTests.java,org.springframework.batch.samples.loop.LoopFlowSampleFunctionalTests,class,5,5,0,5,1,1,0,4,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,2,0,0,0,0,0,8,0,0,0,0,0,2,1,0,0,2,0,0,0,0,43,0,0
